playerid,firstname,surname,playerjerseyname,commonname,overallrating,gkglovetypecode,role5,role2,role1,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,facepsdlayer0,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,lipcolor,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,skinsurfacepack,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,preferredposition5,accessorycolourcode1,headtypecode,driref,sprintspeed,undershortstyle,height,hasseasonaljersey,tattoohead,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,tattooleftleg,skinmakeup,ballcontrol,phypos,shotpower,trait1,socklengthcode,weight,hashighqualityhead,eyedetail,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,preferredposition6,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,usercaneditname,avatarpomid,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,preferredposition7,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,sockstylecode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,firstnameid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,role3,smallsidedshoetypecode,emotion,runstylecode,facepsdlayer1,muscularitycode,skincomplexion,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode,lastnameid,playerjerseynameid,commonnameid,role4
27,,,,,87,0,0,140,137,50000,0,3,0,87,0,90,0,0,0,80,0,19,1,46,18,76,73,0,0,0,87,9,0,52,21,87,87,7,0,81,83,242101,89,2030,85,92,41,0,-1,0,3,90,87,0,176,0,0,27,69,1,145757,23,0,0,91,72,81,4202880,0,73,1,2,0,1048576,87,0,27,13,51,4,-1,87,86,3,0,0,0,0,64,89,86,59,0,-1,0,0,6,2,0,1,0,25,160273,0,0,14,1,0,4,79,4,0,82,17746,0,16,0,3,0,84,3,0,33,501,3,0,3,0,1,0,0,0,15,0,8,0,88,55,0,-1,82,0,0,3,7572,16747,0,0
41,,,,,92,0,0,131,121,60101,0,0,287,82,1,87,0,0,0,93,0,297,0,63,27,93,68,0,0,0,80,6,0,71,0,86,92,7,0,94,91,223101,95,2030,81,93,59,0,-1,0,2518,92,80,0,171,3,0,18,59,1,146672,14,0,0,94,66,78,5254145,0,68,0,2,0,256,86,0,41,6,62,5,-1,95,72,3,0,0,0,0,58,86,91,54,0,-1,0,2,13,5,0,1,0,0,161715,0,0,45,1,0,4,63,3,0,86,2162,0,13,0,3,2048,80,2,0,39,501,1,0,1,0,2,0,0,0,15,0,8,0,83,57,0,-1,80,0,0,0,16352,0,16351,0
51,,,,,89,0,0,41,144,1140401,0,2,0,80,0,70,0,0,0,91,0,150,3,57,-1,62,92,0,0,0,85,5,0,43,15,76,89,9,0,86,87,252001,74,2030,93,76,53,0,-1,0,2004,78,81,0,182,0,0,-1,87,1,141652,25,0,0,82,84,93,4194372,0,78,0,2,0,16,73,0,51,10,49,5,-1,82,85,2,0,0,0,0,79,83,76,94,0,-1,0,1,6,1,0,1,0,0,160432,0,0,14,1,0,3,87,2,0,83,1298,0,9,0,1,0,91,3,0,0,500,3,0,3,0,1,0,0,0,0,0,2,0,82,27,17,-1,92,0,0,6,33719,33719,0,0
240,,,,,86,0,0,19,118,2150000,0,3,287,68,0,68,0,0,0,68,0,104,3,90,-1,86,68,0,0,0,81,8,0,92,15,71,86,14,0,90,88,252001,84,2030,69,75,85,0,-1,0,4003,78,73,0,180,0,0,10,84,1,142014,14,0,0,84,87,63,88408064,0,76,1,2,0,512,75,0,240,12,84,4,-1,89,70,1,0,0,0,0,93,70,82,75,0,-1,0,1,14,10,0,1,0,0,160432,0,0,25,1,0,3,77,3,0,91,31875,0,14,0,1,4096,69,2,0,114,500,5,0,4,0,1,0,0,0,0,0,2,0,72,76,0,-1,56,0,0,3,19163,19163,0,0
246,,,,,88,0,0,131,121,10000,1,7,0,75,1,70,0,0,0,90,0,75,1,58,-1,92,71,1,0,0,92,7,0,80,15,87,88,8,0,87,87,252001,92,2030,82,73,40,0,-1,0,2021,78,73,0,171,1,0,18,71,1,143208,14,0,0,85,80,90,1313798,0,71,1,2,0,256,87,0,246,5,62,4,-1,91,71,2,0,0,0,0,87,75,89,81,0,-1,0,1,12,8,0,1,0,0,160432,0,0,14,1,0,4,84,5,0,92,29016,0,15,0,2,512,86,1,0,0,500,2,0,4,0,1,0,0,0,0,0,8,0,74,54,0,-1,83,0,0,7,33095,33095,0,0
250,,,,,88,0,0,24,123,240401,0,5,0,95,0,76,0,0,0,88,0,70,3,67,23,93,88,5,0,0,94,11,0,68,31,95,88,8,0,90,91,242101,92,2030,80,84,61,0,-1,0,1505,85,82,0,182,1,0,14,75,18,143375,12,0,0,88,80,86,67114243,0,74,0,2,0,8,81,0,250,8,66,4,-1,90,94,2,0,0,0,0,78,77,92,71,0,-1,0,1,13,7,1,1,0,0,160432,0,0,14,1,0,3,81,2,0,90,8642,0,16,2,2,0,85,3,0,122,503,4,0,4,0,1,0,0,0,30,0,391,0,80,65,3,-1,81,0,0,6,4000,4000,0,35
330,,,,,86,0,0,43,141,1140000,0,6,287,81,0,86,0,0,0,90,0,61,3,41,-1,64,82,0,0,0,86,11,0,43,0,72,86,16,0,92,87,242101,81,2030,89,87,17,0,-1,0,34,88,86,0,175,0,0,-1,71,0,145269,25,0,0,89,76,88,1048641,0,73,0,2,0,2,86,0,330,13,45,4,-1,81,61,3,0,0,0,0,76,88,76,72,0,-1,0,0,9,2,0,1,0,25,160111,0,0,25,1,0,4,72,2,0,88,31435,0,14,0,2,4096,88,3,0,0,501,4,0,4,0,1,0,0,0,15,0,2,0,87,50,0,-1,87,0,0,6,19163,19163,0,0
488,,,,,91,9,0,0,101,60101,0,1,0,10,0,66,0,0,0,10,0,190,0,12,-1,32,22,0,0,0,12,93,16,15,15,12,91,95,0,89,63,223101,55,2030,11,13,34,0,-1,0,22,95,62,0,188,1,0,-1,82,1,141228,0,0,0,25,89,53,0,0,90,0,2,0,0,44,0,488,70,57,5,-1,39,14,0,0,0,0,0,61,53,70,18,0,-1,0,1,86,8,1,1,0,0,161715,0,0,21,1,0,2,84,3,1,41,28023,0,89,0,0,4104,86,3,0,0,500,5,0,4,0,2,0,0,0,0,0,2,0,93,14,0,-1,12,0,0,1,18605,18605,0,0
570,,,,,88,0,0,34,131,2150000,1,21,28,92,1,92,0,0,0,87,0,71,2,39,25,78,84,0,0,0,88,9,0,46,11,80,88,13,0,83,89,250101,86,2030,78,95,33,0,-1,0,1001,93,84,0,173,1,0,12,62,0,142749,18,0,0,92,60,88,1056776,0,70,0,2,0,8388608,91,0,570,12,40,4,-1,82,93,4,0,0,0,0,41,90,83,61,0,-1,0,1,15,9,0,1,0,0,160601,0,0,133,1,0,4,54,4,0,72,17272,0,9,0,4,0,83,10,0,125,501,4,0,1,0,9,0,0,0,15,0,2,0,87,33,0,-1,81,0,0,0,27915,27915,0,43
1025,,,,,87,0,0,33,131,240000,0,3,287,84,0,84,0,0,0,86,0,12,4,38,-1,84,81,2,0,0,86,15,0,65,15,85,87,6,0,88,81,250101,87,2030,75,84,40,0,-1,0,1516,85,85,0,180,1,0,-1,80,1,142246,18,0,0,89,76,86,5253120,1,74,0,2,0,256,81,0,1025,5,43,4,-1,88,92,3,0,0,0,0,54,81,87,49,0,-1,0,1,5,3,0,1,0,0,160922,0,0,38,1,0,4,77,4,0,86,31964,0,10,0,3,0,80,5,0,0,503,3,0,0,0,3,0,0,0,21,0,2,1,83,32,0,-1,78,0,0,0,8159,31962,31962,0
1041,,,,,89,0,0,109,105,1140000,0,3,0,57,0,75,0,0,0,73,0,78,3,87,14,84,65,0,0,0,48,7,0,89,15,91,89,9,0,87,84,252001,80,2030,58,77,85,0,-1,0,2017,81,83,0,178,1,0,7,73,1,142745,3,0,0,88,78,71,16990212,0,74,0,2,0,67108864,81,0,1041,9,86,5,-1,90,55,1,0,0,0,0,83,82,84,81,0,-1,0,2,7,3,0,1,0,0,160432,0,0,52,1,0,4,50,5,0,88,17262,0,9,0,1,4864,60,3,0,18,500,2,0,0,0,1,0,0,0,0,0,2,0,83,84,0,-1,57,0,0,3,39980,16819,0,0
1075,,,,,65,0,0,0,31,30301,0,3,287,66,0,65,0,0,0,65,0,103,0,65,-1,66,66,2,0,0,65,12,0,65,15,66,65,12,2,65,65,223101,65,2030,65,65,65,0,-1,0,2001,65,65,0,174,1,0,-1,66,1,143201,18,0,0,65,66,65,1048577,0,74,0,0,0,0,66,0,1075,7,65,1,-1,65,66,3,0,0,0,0,66,65,65,65,0,-1,0,0,9,3,0,1,0,0,161725,0,0,27,1,0,5,66,2,0,66,1470,0,7,0,3,0,65,3,0,0,500,3,0,0,0,1,0,0,0,0,0,293,0,65,65,11,-1,66,0,0,3,8884,8884,0,0
1088,,,,,89,0,0,13,111,60000,0,0,287,45,0,56,0,0,0,36,0,56,0,93,-1,68,51,0,0,0,44,8,0,91,15,53,89,13,0,86,83,244101,56,2030,41,64,92,0,-1,0,24,68,79,0,187,1,0,-1,89,1,143697,5,0,0,76,84,52,688128,0,79,0,2,0,262144,55,0,1088,14,92,5,-1,77,32,1,0,0,0,0,85,72,63,84,0,-1,0,1,9,9,0,1,0,0,160432,0,0,27,1,0,3,83,5,0,72,1470,0,12,0,1,4608,44,5,0,0,500,2,0,2,0,1,0,0,0,0,0,289,0,76,93,0,-1,42,0,0,0,26912,26912,0,0
1109,,,,,65,0,0,11,107,30301,0,0,287,66,0,65,0,0,0,65,0,10,1,65,-1,66,66,0,0,0,66,10,0,65,15,65,65,10,0,65,65,223101,65,2030,66,66,65,0,-1,0,525,66,65,0,186,1,0,5,65,1,140874,7,0,0,65,65,66,262144,0,77,0,0,0,0,66,0,1109,9,65,1,-1,65,66,1,0,0,0,0,65,65,65,65,0,-1,0,0,6,8,0,1,0,0,161725,0,0,27,1,0,4,66,3,0,65,28759,0,12,1,1,0,66,5,0,0,500,2,0,4,0,1,0,0,0,0,0,4,0,65,65,0,-1,66,0,0,0,23227,23227,0,0
1114,,,,,91,0,0,31,132,30401,0,0,38,92,1,80,0,0,0,86,0,21,1,33,-1,88,84,0,0,0,82,5,0,36,7,85,91,10,0,87,84,252001,93,2030,86,93,32,0,-1,0,2019,91,82,0,174,1,0,-1,60,1,140380,18,0,0,94,60,72,4203529,0,73,0,2,0,1048576,81,0,1114,8,38,5,-1,92,88,4,0,0,0,0,39,86,90,73,0,-1,0,1,15,6,0,1,0,0,160432,0,0,27,1,0,4,64,2,0,74,31449,0,7,1,3,0,82,2,0,0,500,2,0,0,0,1,0,0,0,0,0,292,0,84,36,0,-1,83,0,0,0,3358,3358,0,0
1116,,,,,88,0,0,48,111,2010000,1,0,0,48,0,57,0,0,0,50,0,82,2,87,-1,70,53,0,0,0,57,7,0,89,15,51,88,11,0,85,90,250101,71,2030,40,59,85,0,-1,0,5002,66,83,0,185,1,0,10,90,1,140947,5,0,0,74,88,71,269352976,0,81,0,2,0,32768,56,0,1116,5,88,4,-1,74,40,1,0,0,0,0,91,80,65,87,0,-1,0,1,14,3,0,1,0,0,160432,0,0,18,1,0,3,82,4,0,81,23552,0,8,0,1,256,51,10,0,115,500,3,0,1,0,1,0,0,0,0,0,4,0,82,90,0,-1,50,0,0,0,9050,9050,0,0
1179,,,,,91,16,0,0,101,60401,1,0,287,23,1,64,0,0,0,14,0,68,3,16,-1,35,25,0,0,0,16,94,16,28,28,13,91,93,0,88,70,242101,67,2030,19,25,14,0,-1,0,52,93,48,0,192,0,0,-1,75,1,144377,0,0,0,26,89,59,0,0,82,1,2,0,0,58,0,1179,78,51,5,-1,37,17,0,0,0,0,0,42,53,78,13,0,-1,0,1,86,2,0,1,0,0,161228,0,0,27,1,0,2,78,5,3,42,13217,0,89,0,0,4608,86,3,0,0,500,4,0,2,0,1,0,0,0,0,0,5,0,94,18,0,-1,18,0,0,0,5694,5694,0,0
1183,,,,,89,0,0,11,112,2190103,0,3,0,61,0,82,0,0,0,35,0,43,0,93,-1,68,51,0,0,0,48,11,0,94,15,57,89,13,0,89,80,252001,53,2030,38,57,92,0,-1,0,42,67,77,0,176,1,0,-1,85,1,142779,5,0,0,68,83,56,491536,0,74,1,2,0,524288,80,0,1183,14,93,5,-1,71,36,1,0,0,0,0,83,83,62,88,0,-1,0,1,6,8,0,1,0,0,160684,0,0,27,1,0,3,91,2,0,76,11374,0,13,0,1,256,44,3,0,48,500,2,0,4,0,1,0,0,0,0,0,2,0,80,93,0,-1,41,0,0,0,6248,6248,0,0
1201,,,,,87,0,0,31,132,2150000,0,3,0,87,0,82,0,0,0,87,0,83,4,43,-1,81,86,0,0,0,87,15,0,32,15,82,87,8,0,88,83,250101,85,2030,90,91,36,0,-1,0,3,89,83,0,168,1,0,25,59,1,140152,18,0,0,89,63,88,9437320,0,67,1,2,0,1,84,0,1201,14,41,4,-1,87,90,3,0,0,0,0,62,87,85,62,0,-1,0,0,14,9,0,1,0,0,160432,0,0,27,1,0,4,51,3,0,74,13212,0,7,0,2,0,88,4,0,141,500,3,0,4,0,2,0,0,0,0,0,8,0,85,40,0,-1,81,0,0,3,40378,40378,0,0
1238,,,,,89,0,0,41,143,2150301,0,5,287,86,1,80,0,0,0,89,0,12,3,36,-1,90,87,1,0,0,88,5,0,36,15,86,89,11,0,87,92,232001,92,2030,93,90,32,0,-1,0,3502,90,85,0,180,1,0,18,77,2,143889,25,0,0,95,75,92,5252354,1,82,1,6,0,4,79,0,1238,14,40,5,-1,90,88,3,0,0,0,0,67,84,89,76,0,-1,0,1,12,1,0,1,0,0,161715,0,0,27,1,0,5,64,5,1,79,12215,0,11,0,3,512,91,4,0,131,500,4,0,2,0,5,0,0,0,0,0,2,2,85,36,0,-1,90,0,0,6,36717,36717,0,0
1397,,,,,94,0,0,34,131,2320000,0,0,287,87,0,78,0,0,0,90,0,29,1,76,-1,95,88,0,0,0,92,10,0,83,0,92,94,7,0,94,96,250101,96,2030,89,96,65,0,-1,3,2502,94,82,0,185,1,0,14,86,3,142332,18,0,0,96,84,88,5252225,0,77,0,2,0,256,85,0,1397,15,73,5,-1,96,90,4,0,0,0,0,77,84,94,86,0,-1,0,1,8,10,0,1,0,26,160432,0,0,18,1,0,5,73,2,0,86,40325,0,12,0,3,0,90,4,0,121,503,5,0,4,0,1,0,0,0,11,0,85,0,83,62,0,-1,91,0,0,0,40288,40288,0,0
1551,,,,,86,0,0,136,126,60401,0,0,287,78,0,88,0,0,0,80,0,636,1,45,-1,77,75,0,0,0,83,6,0,46,0,82,86,6,0,83,83,244101,82,2030,83,84,42,0,-1,0,1505,85,87,0,164,1,0,23,48,1,143810,12,0,0,85,58,86,101724161,0,62,1,2,0,32,93,0,1551,16,49,4,-1,84,72,3,0,0,0,0,52,90,81,63,0,-1,0,2,8,3,0,1,0,0,160890,0,0,18,1,0,4,40,4,0,85,22307,0,9,0,3,4096,83,4,0,0,501,3,0,0,0,1,0,0,0,15,0,8,0,88,54,0,-1,90,0,0,0,13359,13359,0,0
1605,,,,,87,0,0,125,129,2320401,0,3,288,84,0,81,0,0,0,85,0,56,1,36,18,81,79,2,0,0,75,6,0,44,15,85,87,10,0,81,83,252001,88,2030,83,88,34,0,-1,0,1505,86,86,0,187,1,0,12,63,1,142825,16,0,0,89,64,74,34611456,1,74,1,2,0,1,76,0,1605,11,38,4,-1,84,81,3,0,0,0,0,44,86,84,55,0,-1,0,2,6,9,0,1,0,0,160432,0,0,18,1,0,4,73,4,0,81,31443,0,14,0,3,0,79,3,0,32,500,3,0,4,0,1,0,0,0,0,0,4,0,86,31,0,-1,75,0,0,0,29718,29696,0,0
1615,,,,,88,0,0,148,103,2010401,1,0,0,63,0,77,0,0,0,68,0,1,4,88,-1,78,42,0,0,0,59,13,0,88,15,74,88,14,0,83,84,250101,74,2030,57,71,94,0,-1,0,3002,75,88,0,182,1,0,5,90,1,142158,3,0,0,77,90,63,269385728,0,75,0,2,0,16384,83,0,1615,7,90,4,-1,83,42,2,0,0,0,0,90,89,76,87,0,-1,0,2,8,9,0,1,0,0,161228,0,0,18,1,0,3,86,3,0,89,21693,0,15,0,1,0,58,10,0,0,500,3,0,1,0,1,0,0,0,0,0,2,0,88,92,0,-1,55,0,0,0,36271,36271,0,0
1620,,,,,87,0,0,17,114,60401,0,2,287,71,0,77,0,0,0,79,0,7,3,88,7,82,62,0,0,0,88,8,0,87,15,71,87,11,0,82,85,252001,75,2030,69,70,84,0,-1,0,4003,76,78,0,185,1,0,14,86,1,141692,10,0,0,84,87,88,17236228,0,79,0,2,0,67108864,71,0,1620,13,85,4,-1,88,69,2,0,0,0,0,88,75,79,77,0,-1,0,2,12,10,0,1,0,0,160432,0,0,18,2,0,3,76,5,0,90,10769,0,14,0,2,512,77,2,0,118,500,4,0,4,0,1,0,0,0,0,0,5,0,77,82,0,-1,74,0,0,6,29422,29422,0,9
