uid,name,revision,origin,playerid,overallrating,preferredposition1,preferredposition2,preferredposition3,preferredposition4,trait1,trait2,icontrait1,icontrait2,role1,role2,role3,role4,role5,skillmoves,weakfootabilitytypecode,acceleration,sprintspeed,agility,balance,jumping,stamina,strength,reactions,aggression,composure,interceptions,positioning,vision,ballcontrol,crossing,dribbling,finishing,freekickaccuracy,headingaccuracy,longpassing,shortpassing,defensiveawareness,shotpower,longshots,standingtackle,slidingtackle,volleys,curve,penalties,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning
1,Cha Bum Kun,Debut Icon,N/A,191208,85,25,-1,-1,-1,639633504,0,0,0,141,141,136,0,0,3,5,83,89,82,84,75,89,83,79,71,83,54,82,76,79,78,86,84,74,79,72,79,66,86,72,51,47,83,75,81,10,10,10,10,10
2,Cha Bum Kun,Champion Icon,N/A,191208,88,25,-1,-1,-1,637536352,0,2097152,0,141,141,136,0,0,3,5,88,89,85,84,83,89,86,85,86,85,60,89,78,87,80,89,88,79,86,73,85,66,87,73,58,57,88,83,87,10,10,10,10,10
3,Sissi,Debut Icon,N/A,77790,85,18,-1,-1,-1,1059081,0,0,0,32,0,0,0,0,3,3,84,82,80,87,64,83,68,82,42,87,30,87,86,85,85,85,86,91,62,83,86,38,86,83,42,35,79,91,87,10,10,10,10,10
4,Sissi,Champion Icon,N/A,77790,88,18,-1,-1,-1,34611465,0,2048,0,132,132,0,0,0,3,3,87,85,91,88,69,83,68,91,74,90,41,92,91,87,88,88,92,91,62,89,88,43,88,89,42,43,89,91,88,10,10,10,10,10
5,Francesco Totti,Debut Icon,N/A,1238,85,25,-1,-1,-1,5252358,0,0,0,143,143,131,0,0,3,5,80,81,76,75,61,75,73,82,63,87,32,84,88,90,82,85,88,84,69,86,86,32,87,86,32,30,85,82,82,10,10,10,10,10
6,Francesco Totti,Champion Icon,N/A,1238,89,25,-1,-1,-1,4203782,0,1048576,0,143,143,131,0,0,3,5,88,87,89,90,72,78,75,90,67,90,35,88,88,92,90,92,92,90,86,87,91,35,91,87,36,34,90,89,86,10,10,10,10,10
7,Steffi Jones,Debut Icon,N/A,77676,85,5,-1,-1,-1,246800,0,0,0,113,113,0,0,0,1,3,71,80,62,64,85,77,86,83,79,77,83,65,65,71,59,60,47,44,88,78,80,87,76,78,88,80,36,56,57,10,10,10,10,10
8,Steffi Jones,Champion Icon,N/A,77676,89,5,-1,-1,-1,115728,0,131072,0,113,113,0,0,0,1,3,81,80,70,71,85,84,87,83,85,77,91,65,79,71,72,70,60,74,91,80,80,94,76,80,94,87,56,78,58,10,10,10,10,10
9,Oliver Kahn,Debut Icon,N/A,488,86,0,-1,-1,-1,0,24,0,0,101,101,0,0,0,0,2,48,57,66,44,84,41,82,89,61,63,15,10,55,25,12,13,11,14,18,32,39,14,53,32,12,34,12,10,22,88,81,65,90,84
10,Oliver Kahn,Champion Icon,N/A,488,91,0,-1,-1,-1,0,8,0,16,101,101,0,0,0,0,2,58,57,80,76,80,77,73,73,78,77,74,76,80,77,78,74,76,76,74,73,77,73,73,73,74,74,79,72,73,93,86,70,95,89
11,Caroline Seger,Debut Icon,N/A,226975,86,14,-1,-1,-1,88164352,0,0,0,20,114,0,0,0,3,3,73,77,76,72,73,84,74,84,73,86,85,77,88,86,79,81,76,72,81,88,90,77,77,88,84,73,65,77,78,10,10,10,10,10
12,Caroline Seger,Champion Icon,N/A,226975,90,14,-1,-1,-1,88098816,0,65536,0,119,119,114,0,0,3,3,81,80,86,87,80,84,83,88,83,86,86,83,91,87,85,85,82,85,84,91,92,88,79,91,89,86,79,91,78,10,10,10,10,10
13,Alex Morgan,Debut Icon,N/A,226301,86,25,-1,-1,-1,105906243,0,0,0,142,142,0,0,0,3,4,88,86,86,79,80,81,72,85,57,83,41,90,73,87,68,85,90,68,77,74,82,37,82,74,43,34,83,77,84,10,10,10,10,10
14,Alex Morgan,Champion Icon,N/A,226301,91,25,-1,-1,-1,105906242,0,1,0,142,142,0,0,0,3,4,91,92,92,86,80,81,76,90,77,90,43,92,79,91,78,91,92,82,86,78,86,42,92,78,45,39,87,80,87,10,10,10,10,10
15,Thierry Henry,Debut Icon,N/A,1625,86,25,-1,-1,-1,39846081,0,0,0,141,141,139,0,0,3,4,87,87,83,72,65,80,76,85,58,80,46,87,75,87,73,84,88,80,76,69,81,40,82,69,44,39,84,86,79,10,10,10,10,10
16,Thierry Henry,Champion Icon,N/A,1625,91,25,-1,-1,-1,6291649,0,33554432,0,141,141,139,0,0,3,4,93,92,88,88,78,80,80,88,75,86,46,90,86,90,85,90,93,86,83,79,83,46,91,79,49,48,87,86,87,10,10,10,10,10
17,Ronaldo Luís Nazário de Lima,Debut Icon,N/A,37576,86,25,-1,-1,-1,42991681,0,0,0,141,141,0,0,0,4,5,89,88,81,76,71,72,74,86,41,81,33,87,72,86,65,88,89,79,68,66,75,29,85,66,33,28,87,76,81,10,10,10,10,10
18,Ronaldo Luís Nazário de Lima,Champion Icon,N/A,37576,92,25,-1,-1,-1,9437249,0,33554432,0,142,142,0,0,0,4,5,93,92,90,88,71,72,74,88,71,93,37,93,77,91,75,93,93,79,92,75,82,36,93,75,36,33,89,85,89,10,10,10,10,10
19,Andrés Iniesta Luján,Debut Icon,N/A,41,86,14,-1,-1,-1,5254401,0,0,0,121,121,131,39,0,3,4,83,77,81,80,62,85,58,88,57,85,70,87,90,88,81,87,76,68,53,88,90,56,73,88,62,58,75,77,64,10,10,10,10,10
20,Andrés Iniesta Luján,Champion Icon,N/A,41,92,14,-1,-1,-1,5254145,0,256,0,121,121,131,139,0,3,4,85,85,91,91,72,85,70,91,73,90,76,89,92,92,90,93,86,85,75,92,93,76,81,92,75,76,84,89,83,10,10,10,10,10
21,Zlatan Ibrahimović,Debut Icon,N/A,226369,86,25,-1,-1,-1,809500837,0,0,0,44,0,0,0,0,4,4,77,82,79,75,70,76,88,84,87,89,33,86,78,87,71,85,87,79,76,72,83,37,88,72,41,30,90,75,83,10,10,10,10,10
22,Zlatan Ibrahimović,Champion Icon,N/A,226369,92,25,-1,-1,-1,809500833,0,4,0,144,144,0,0,0,4,4,87,86,93,94,91,87,92,95,89,92,40,95,84,92,83,92,95,81,91,78,84,43,95,78,46,36,93,86,95,10,10,10,10,10
23,Toni Kroos,Debut Icon,N/A,182521,86,14,-1,-1,-1,21040392,0,0,0,21,116,31,0,0,2,5,69,71,74,76,58,76,70,89,64,85,80,77,89,89,84,81,73,80,55,89,89,69,83,89,76,67,80,84,69,10,10,10,10,10
24,Toni Kroos,Champion Icon,N/A,182521,90,14,-1,-1,-1,21039368,0,1024,0,120,120,116,31,0,2,5,75,75,86,87,76,76,75,89,76,88,80,82,94,89,92,85,82,90,76,91,89,78,83,91,82,76,82,92,80,10,10,10,10,10
25,Steven Gerrard,Debut Icon,N/A,13743,85,14,-1,-1,-1,5924,0,0,0,21,116,0,0,0,2,3,74,76,67,67,70,85,78,81,81,80,71,83,84,87,82,80,83,77,69,90,88,71,87,90,74,69,80,79,80,10,10,10,10,10
26,Steven Gerrard,Champion Icon,N/A,13743,89,14,-1,-1,-1,5412,0,512,0,120,120,116,0,0,2,3,81,80,85,85,87,85,83,84,83,85,81,90,93,87,85,84,90,91,77,91,90,79,87,91,75,73,84,87,89,10,10,10,10,10
27,Giorgio Chiellini,Debut Icon,N/A,138956,85,5,-1,-1,-1,403554304,0,0,0,48,0,0,0,0,1,3,73,77,62,66,82,78,88,77,89,76,85,48,51,63,62,54,46,33,83,63,64,88,74,63,88,86,45,58,47,10,10,10,10,10
28,Giorgio Chiellini,Champion Icon,N/A,138956,89,5,-1,-1,-1,403537920,0,16384,0,148,148,0,0,0,1,3,79,81,65,66,90,91,90,77,89,76,92,54,61,68,62,63,54,60,91,63,75,94,74,63,93,91,53,61,56,10,10,10,10,10
29,Marcelo Vieira da Silva,Debut Icon,N/A,237067,85,7,-1,-1,-1,13765632,0,0,0,10,0,0,0,0,4,4,84,82,77,80,76,83,65,86,75,82,79,79,76,88,85,85,66,64,72,82,89,77,77,82,81,82,69,83,53,10,10,10,10,10
30,Marcelo Vieira da Silva,Champion Icon,N/A,237067,89,7,-1,-1,-1,9571328,0,4194304,0,110,110,0,0,0,4,4,90,87,91,89,78,83,79,91,75,88,85,79,85,88,90,90,72,84,80,87,89,83,77,87,85,83,69,87,69,10,10,10,10,10
31,Mohamed Salah,Gold Rare,N/A,209331,91,12,-1,-1,-1,5255360,0,1,0,126,126,136,0,0,3,3,88,89,86,91,79,88,75,94,63,93,55,93,89,90,86,90,94,69,59,81,88,38,83,81,43,41,83,88,88,10,10,10,10,10
32,Bukayo Saka,Gold Rare,N/A,246669,88,23,-1,-1,-1,1048577,0,4096,0,136,136,126,0,0,2,4,87,81,85,88,72,86,68,88,68,82,62,86,86,88,90,89,84,74,49,77,85,60,79,77,62,60,79,88,87,10,10,10,10,10
33,Thibaut Courtois,Gold Rare,N/A,192119,89,0,-1,-1,-1,0,9,0,4,101,101,0,0,0,0,3,42,52,63,45,68,38,70,88,23,66,15,13,44,23,14,13,14,20,13,35,33,20,57,35,18,16,12,19,27,85,89,76,90,88
40,Kylian Mbappé,Gold Rare,N/A,231747,91,25,-1,-1,-1,6291681,0,33554432,0,141,141,139,0,0,4,4,97,97,93,82,90,83,77,91,61,88,38,91,83,93,78,92,92,69,78,74,87,26,91,74,34,32,87,80,82,10,10,10,10,10
41,Florian Wirtz,Gold Rare,N/A,256630,89,18,-1,-1,-1,5251139,0,256,0,131,131,143,0,0,3,4,82,79,88,87,65,87,59,88,63,86,55,85,91,92,87,90,84,74,43,87,91,64,78,87,49,44,81,83,66,10,10,10,10,10
42,Gabriel dos S. Magalhães,Gold Rare,N/A,232580,88,5,-1,-1,-1,16,0,268435456,0,111,111,0,0,0,1,2,61,67,51,37,88,71,89,88,86,79,87,52,63,71,42,64,37,31,90,76,79,89,62,76,88,87,33,57,51,10,10,10,10,10
46,Jamal Musiala,Gold Rare,N/A,256790,88,18,-1,-1,-1,8397264,0,1048576,0,132,132,130,22,0,4,4,85,75,94,93,80,73,61,89,59,83,65,88,84,85,70,94,86,59,75,79,87,64,80,79,66,61,75,75,61,10,10,10,10,10
47,Vinícius José de Oliveira Júnior,Gold Rare,N/A,238794,89,27,-1,-1,-1,6299779,0,33554432,0,139,139,143,30,0,4,4,95,95,94,84,74,84,65,85,58,83,26,86,85,90,81,93,88,62,50,77,83,32,81,77,25,18,73,79,74,10,10,10,10,10
51,Ousmane Dembélé,Gold Rare,N/A,231443,90,25,-1,-1,-1,41951808,0,2097152,0,143,143,136,0,0,4,5,93,89,94,81,84,76,69,91,58,88,45,95,84,94,80,94,90,68,74,78,89,49,91,78,49,39,79,85,80,10,10,10,10,10
